n_clusters,n_cubes,perc_overlap,Accuracy,Balanced Accuracy,AUROC
3,9,0.35,0.9641380987114029,0.5617029164134726,0.653327108
3,9,0.4,0.963044007,0.5578944954654376,0.6636510563235245
3,9,0.45,0.9638949671772429,0.5567154710174006,0.6424564304498722
3,9,0.5,0.9645027960126429,0.5602716533477033,0.6535436765604504
3,9,0.55,0.9641380987114029,0.5503598222099925,0.6661373477491525
3,9,0.6,0.9636518356430829,0.5468666995341229,0.6584128585642018
3,10,0.1,0.963165573,0.5547166710617335,0.6453652427924089
3,10,0.15,0.962922441,0.5545905517528673,0.6632366036452302
3,10,0.2,0.9634087041089229,0.5597041164578055,0.6635665521401427
3,10,0.25,0.9637734014101629,0.5615137374501733,0.6859962554879947
3,10,0.3,0.9636518356430829,0.5630711198248088,0.6544110122114916
3,10,0.35,0.963287138,0.5564001727452351,0.6469602061732217
3,10,0.4,0.9643812302455629,0.5585881516642016,0.6414249698396501
3,10,0.45,0.9636518356430829,0.5468666995341229,0.6480526032171888
3,10,0.5,0.9637734014101629,0.5534115273048303,0.6648099101750254
3,10,0.55,0.9636518356430829,0.5517280256213287,0.6514353184172833
3,10,0.6,0.9634087041089229,0.5467405802252567,0.6552278152101585
3,11,0.1,0.9642596644784829,0.5698681862132486,0.6850352858046136
3,11,0.15,0.9647459275468028,0.5717408668600497,0.679502173
3,11,0.2,0.9637734014101629,0.5679955055664476,0.6624885929968538
3,11,0.25,0.9645027960126429,0.5635125374058405,0.6695124193547702
3,11,0.3,0.9642596644784829,0.568247744,0.6755899262520526
3,11,0.35,0.9638949671772429,0.5680585652208807,0.6758079810167085
3,11,0.4,0.9634087041089229,0.5597041164578055,0.6619853896938019
3,11,0.45,0.962436178,0.5624405232804779,0.6460262013925779
3,11,0.5,0.9641380987114029,0.5617029164134726,0.6628166305931471
3,11,0.55,0.963165573,0.556337113,0.6735463263398691
3,11,0.6,0.9637734014101629,0.5566524113629675,0.6632376652555743
3,12,0.1,0.9642596644784829,0.5666273021551115,0.6897337608650511
3,12,0.15,0.9638949671772429,0.5664381231918122,0.6807894813948541
